domain,name,affiliation,email,citations,hindex,i10index,profile
aupp.edu.kh,DINESH ELANGO,American University of Phnom Penh,Verified email at aupp.edu.kh -Homepage,156,7,4,https://scholar.google.com/citations?hl=en&user=dJiJtOwAAAAJ
aupp.edu.kh,Yu sing ong,American University of Phnom Penh,Verified email at aupp.edu.kh -Homepage,114,6,5,https://scholar.google.com/citations?hl=en&user=UE-1lxoAAAAJ
uc.edu.kh,Sina Pang,"Dean of Institute of Technical and Professional Training (ITPT), The University of Cambodia",Verified email at uc.edu.kh -Homepage,127,6,5,https://scholar.google.com/citations?hl=en&user=4M0hhk0AAAAJ
uc.edu.kh,sophea pheng,Doctoral Student,Verified email at uc.edu.kh,44,4,2,https://scholar.google.com/citations?hl=en&user=MZIFbRkAAAAJ
uc.edu.kh,Vathanak Chet,The University of Cambodia,Verified email at uc.edu.kh,17,2,1,https://scholar.google.com/citations?hl=en&user=xJy_NJgAAAAJ
uc.edu.kh,Kroeun Kruy,Researcher for Cambodia Primary Teacher Training Center and Lecturer at University of Cambodia,Verified email at student.uc.edu.kh -Homepage,11,2,0,https://scholar.google.com/citations?hl=en&user=xldBB_0AAAAJ
uc.edu.kh,Sanhei Nhor,"Lecturer, The University of Cambodia",Verified email at uc.edu.kh -Homepage,4,1,0,https://scholar.google.com/citations?hl=en&user=AQAMujIAAAAJ
uc.edu.kh,"Md Nadim Aktar, PhD","Lecturer of International Relations, The University of Cambodia",Verified email at uc.edu.kh,3,1,0,https://scholar.google.com/citations?hl=en&user=Vr5hzl0AAAAJ
uc.edu.kh,Sovannara Si,Graduate Student at The University of Cambodia,Verified email at uc.edu.kh,2,1,0,https://scholar.google.com/citations?hl=en&user=jrVrH2kAAAAJ
uc.edu.kh,Chhaihong Kor,The University of Cambodia,Verified email at uc.edu.kh,,,,https://scholar.google.com/citations?hl=en&user=xUOuk1gAAAAJ
